Time(s),Ops,TPS(ops/s),Net(M/s),Get_miss,Min(us),Max(us),Avg(us),Std_dev,Geo_dist
10,8962190,896219,929.9,0,28,9006,512,336.11,447.44
20,8815530,881553,914.7,0,31,11885,520,349.20,453.98
30,8703041,870304,903.0,0,31,8901,527,350.84,459.38
40,8793555,879355,912.4,104765,37,8383,522,340.13,460.20
50,9220594,922059,956.7,1648866,40,6271,498,237.63,455.05
60,9730249,973024,1009.6,3282578,38,5581,472,206.34,436.02
70,9951930,995193,1032.6,4460095,40,5378,461,199.22,427.42
80,9999595,999959,1037.6,5279800,40,3917,459,194.19,426.02
90,10010863,1001086,1038.7,5884552,43,5958,459,194.95,425.14
100,9962659,996265,1033.7,6316436,47,4281,461,201.54,425.66
110,9963870,996387,1033.8,6684362,43,5674,461,200.62,425.76
120,10069332,1006933,1044.8,7056463,36,4018,456,195.39,422.14
130,9957587,995758,1033.2,7233429,42,5003,461,205.15,425.45
140,10047398,1004739,1042.5,7511938,39,4251,457,197.02,422.92
150,10011448,1001144,1038.8,7664894,33,4735,459,197.23,424.45
160,10198724,1019872,1058.2,7970918,48,6654,450,188.00,418.18
170,10250602,1025060,1063.6,8155556,42,4754,448,181.40,416.83
180,10287556,1028755,1067.4,8314707,39,3994,446,177.35,416.29
190,9670796,967079,1003.4,7916433,36,5986,474,216.67,435.97
200,9871149,987114,1024.2,8172942,41,4555,465,209.42,428.42
210,10130678,1013067,1051.2,8475213,38,4419,453,185.77,421.04
220,10168714,1016871,1055.1,8586112,38,4714,451,185.60,419.71
230,10152651,1015265,1053.4,8647341,32,4940,452,184.07,420.81
240,10094715,1009471,1047.4,8662758,39,4615,455,186.41,422.25
250,10167040,1016704,1054.9,8786820,36,4474,451,183.14,420.31
260,10253325,1025332,1063.9,8919300,42,3869,448,174.63,417.69
270,10207976,1020797,1059.2,8929829,41,4741,450,179.14,418.85
280,10226411,1022641,1061.1,8993855,41,4607,449,179.88,418.04
290,10393426,1039342,1078.4,9188112,40,3579,442,169.02,413.04
300,10434561,1043456,1082.7,9265726,38,4300,440,168.26,411.86
310,10445066,1044506,1083.8,9317174,32,3411,440,164.25,412.01
320,10448761,1044876,1084.2,9356510,43,3299,439,169.20,410.92
330,10458280,1045828,1085.1,9403160,37,4985,439,168.32,410.67
340,10461296,1046129,1085.5,9436952,36,4848,439,167.52,410.67
350,10524005,1052400,1092.0,9524546,38,3507,436,166.02,408.38
360,10503330,1050333,1089.8,9536704,34,3862,437,164.58,409.40
370,10476181,1047618,1087.0,9539345,48,3866,438,165.87,410.40
380,10436718,1043671,1082.9,9528926,31,3460,440,166.81,412.07
390,9966834,996683,1034.2,9124187,33,5661,460,202.69,424.91
400,10392354,1039235,1078.3,9536579,37,4262,442,173.55,412.19
410,10384180,1038418,1077.5,9550532,38,4102,442,171.73,412.81
420,10387586,1038758,1077.8,9574159,44,3940,442,171.22,412.81
430,10503024,1050302,1089.8,9699361,39,4275,437,166.83,409.10
440,10525859,1052585,1092.2,9739612,37,5114,436,165.35,408.60
450,10443163,1044316,1083.6,9683341,42,3729,440,166.56,411.26
460,10320410,1032041,1070.8,9585931,35,3859,445,171.13,415.78
470,10330086,1033008,1071.8,9612232,39,5190,444,173.75,415.19
480,10328074,1032807,1071.6,9625045,36,3969,444,176.84,414.75
490,10390305,1039030,1078.1,9698084,34,3976,442,171.53,412.43
500,10382148,1038214,1077.2,9705184,34,3875,442,173.31,412.58
510,10361757,1036175,1075.1,9700117,33,3731,443,174.93,413.14
520,10212822,1021282,1059.7,9571577,41,5148,449,204.39,415.57
530,10359173,1035917,1074.9,9722271,41,4879,443,173.48,413.86
540,10540397,1054039,1093.7,9904794,42,4503,435,168.66,407.48
550,10555311,1055531,1095.2,9931839,30,4680,435,163.54,407.66
560,10581831,1058183,1098.0,9969029,39,4291,434,162.47,406.83
570,10370937,1037093,1076.1,9781453,36,3971,442,177.76,412.43
580,10279052,1027905,1066.6,9704323,43,4502,446,179.50,415.88
590,10404410,1040441,1079.6,9830647,37,3642,441,172.53,411.87
600,10421198,1042119,1081.3,9859020,45,4386,440,170.84,411.74
