Time(s),Ops,TPS(ops/s),Net(M/s),Get_miss,Min(us),Max(us),Avg(us),Std_dev,Geo_dist
10,9157446,915744,950.2,0,29,9360,501,334.18,436.04
20,9059661,905966,940.0,0,28,12279,506,344.08,440.35
30,9066432,906643,940.7,0,25,9426,506,331.38,441.93
40,9204240,920424,955.0,216149,30,9530,499,325.14,441.66
50,10012086,1001208,1038.9,2107554,33,4586,459,193.15,425.80
60,10151196,1015119,1053.3,3714580,40,4560,452,194.18,419.62
70,10238306,1023830,1062.3,4823208,45,5054,448,193.20,416.37
80,10296903,1029690,1068.4,5625112,42,4753,446,187.31,414.12
90,10314426,1031442,1070.2,6228977,42,4937,445,187.24,413.16
100,10322902,1032290,1071.1,6686131,44,3860,445,184.71,413.15
110,10349854,1034985,1073.9,7069389,40,4204,443,192.31,410.63
120,10404735,1040473,1079.6,7411064,35,4596,441,188.19,408.85
130,10424169,1042416,1081.6,7675591,32,4206,440,187.50,408.24
140,10288680,1028868,1067.6,7789231,40,4521,446,191.43,413.06
150,10252772,1025277,1063.8,7938460,35,5337,448,192.20,414.27
160,10141697,1014169,1052.3,8001549,37,4233,452,204.10,416.86
170,10135993,1013599,1051.7,8127970,41,6336,453,205.95,416.22
180,10397928,1039792,1078.9,8460161,39,4602,441,183.31,410.20
190,10392739,1039273,1078.3,8563798,39,4057,442,182.47,409.90
200,10399731,1039973,1079.1,8668643,37,4148,441,183.09,409.93
210,10495695,1049569,1089.0,8834782,33,4291,437,180.36,406.48
220,10436520,1043652,1082.9,8865126,31,4155,440,180.39,408.77
230,10456210,1045621,1084.9,8955440,34,4148,439,179.25,408.46
240,10431734,1043173,1082.4,8999848,37,3729,440,177.70,409.59
250,10489125,1048912,1088.3,9112366,38,6178,438,175.12,408.06
260,10579635,1057963,1097.7,9245017,37,4631,434,174.99,404.37
270,10479971,1047997,1087.4,9210164,41,4971,438,177.65,407.41
280,10458669,1045866,1085.2,9236712,40,4529,439,178.48,408.12
290,10649687,1064968,1105.0,9452803,37,4398,431,170.76,402.11
300,10761317,1076131,1116.6,9596815,37,3973,426,164.44,399.50
310,10784055,1078405,1119.0,9655658,37,3828,426,159.59,399.15
320,10786583,1078658,1119.2,9698218,32,3641,425,164.93,398.19
330,10756142,1075614,1116.1,9705190,43,3295,427,163.13,399.36
340,10779152,1077915,1118.4,9756264,33,6031,426,162.08,398.89
350,10719351,1071935,1112.2,9733776,34,5201,428,167.38,400.29
360,10139220,1013922,1052.0,9233648,34,6073,452,217.07,414.37
370,10476398,1047639,1087.0,9566550,37,5437,438,188.17,406.35
380,10587791,1058779,1098.6,9693641,39,3622,433,173.50,404.31
390,10604400,1060440,1100.3,9732766,33,3436,433,172.37,403.59
400,10598296,1059829,1099.7,9748848,39,5174,433,171.91,403.94
410,10550427,1055042,1094.7,9727708,37,4066,435,176.32,404.94
420,10693060,1069306,1109.5,9878278,37,3612,429,171.45,400.07
430,10671009,1067100,1107.2,9878626,37,3506,430,174.08,400.41
440,10712408,1071240,1111.5,9934461,30,4185,428,169.89,400.00
450,10588685,1058868,1098.7,9839580,39,4266,433,174.68,404.02
460,10590440,1059044,1098.9,9857672,37,3609,433,175.76,403.57
470,10620751,1062075,1102.0,9901860,37,4350,432,170.76,403.18
480,10685864,1068586,1108.8,9977672,36,5165,429,169.97,401.02
490,10674647,1067464,1107.6,9984107,37,3511,430,170.83,400.94
500,10658077,1065807,1105.9,9981973,43,4194,431,170.86,401.55
510,10602520,1060252,1100.1,9943542,37,4467,433,171.69,403.54
520,10618088,1061808,1101.7,9970588,38,4710,432,175.41,402.09
530,10587021,1058702,1098.5,9955322,37,3709,433,173.87,404.06
540,10774260,1077426,1117.9,10142341,39,3740,426,166.33,397.87
550,10787894,1078789,1119.3,10167165,31,3985,425,167.90,397.21
560,10711022,1071102,1111.4,10106572,32,3885,428,170.53,399.90
570,10594590,1059459,1099.3,10007519,37,5088,433,175.47,403.24
580,10606051,1060605,1100.5,10027467,37,4852,433,173.80,402.99
590,10577496,1057749,1097.5,10012092,37,4085,434,171.76,404.50
600,10527865,1052786,1092.4,9974440,37,3760,436,175.90,406.10
