Time(s),Ops,TPS(ops/s),Net(M/s),Get_miss,Min(us),Max(us),Avg(us),Std_dev,Geo_dist
10,1053180,105318,109.3,0,37,10812,495,291.50,439.53
20,1021510,102151,106.0,0,40,7097,509,291.38,451.41
30,1003819,100381,104.2,0,46,8574,518,318.88,459.72
40,1057493,105749,109.7,0,52,5477,489,224.64,449.30
50,1090080,109008,113.1,0,42,4722,474,212.95,436.84
60,1099123,109912,114.0,0,58,4637,470,211.46,433.85
70,1086753,108675,112.8,0,52,4246,476,214.66,438.79
80,1088339,108833,112.9,0,49,4663,476,219.28,437.63
90,1106782,110678,114.8,0,49,4264,468,208.24,430.98
100,1068231,106823,110.8,0,48,4870,486,229.68,444.19
110,1076400,107640,111.7,0,43,4855,482,231.12,440.55
120,1110834,111083,115.3,0,51,4958,466,213.17,429.10
130,1108570,110857,115.0,0,43,4938,467,215.31,429.48
140,1115492,111549,115.7,0,42,4966,464,208.37,427.66
150,1122779,112277,116.5,0,45,5037,461,201.31,425.58
160,1112500,111250,115.4,0,54,3882,466,206.87,429.36
170,1126482,112648,116.9,0,51,4259,460,199.61,424.95
180,1130766,113076,117.3,0,49,4547,458,195.31,423.77
190,1136222,113622,117.9,0,43,4150,456,195.11,421.51
200,1134685,113468,117.7,0,36,4015,456,194.02,422.63
210,1134492,113449,117.7,0,40,3454,457,193.74,422.43
220,1132033,113203,117.5,0,49,4481,458,195.48,424.45
230,1140966,114096,118.4,0,56,3765,454,190.06,420.84
240,1165650,116565,120.9,0,37,3336,443,177.51,413.24
250,1161405,116140,120.5,0,47,5055,445,180.13,414.39
260,1168626,116862,121.3,0,36,3946,442,174.18,411.96
270,1171552,117155,121.6,0,51,4600,441,175.08,411.56
280,1175195,117519,121.9,0,51,4138,440,173.03,410.30
290,1170261,117026,121.4,0,48,5294,441,178.91,411.34
300,1129960,112996,117.2,0,42,5690,459,200.83,423.33
310,1146671,114667,119.0,0,38,4526,452,189.76,418.68
320,1161217,116121,120.5,0,55,4321,446,183.16,414.12
330,1160540,116054,120.4,0,49,4005,446,182.39,414.70
340,1164283,116428,120.8,0,51,3969,444,183.30,413.08
350,1175741,117574,122.0,0,52,4540,440,176.03,409.75
360,1182812,118281,122.7,0,50,3527,437,170.44,407.91
370,1182089,118208,122.7,0,50,4522,437,173.93,407.58
380,1180230,118023,122.5,0,38,3887,438,169.89,409.03
390,1180832,118083,122.5,0,40,5081,437,174.89,408.29
400,1164435,116443,120.8,0,44,5084,444,183.17,413.22
410,1163095,116309,120.7,0,51,4640,445,181.00,414.15
420,1164135,116413,120.8,0,43,4343,444,183.39,413.07
430,1163600,116360,120.7,0,44,4342,445,181.29,413.51
440,1158976,115897,120.3,0,45,4473,447,178.48,416.14
450,1164674,116467,120.8,0,44,3886,444,179.82,414.21
460,1169152,116915,121.3,0,52,4777,442,176.37,412.62
470,1185829,118582,123.0,0,48,4240,436,168.86,407.16
480,1181411,118141,122.6,0,42,4541,437,174.43,408.06
490,1155907,115590,119.9,0,49,4310,448,185.74,416.31
500,1160790,116079,120.4,0,49,5141,446,180.85,414.84
510,1180519,118051,122.5,0,50,3830,438,171.89,408.43
520,1182912,118291,122.7,0,49,3520,437,172.00,407.36
530,1179719,117971,122.4,0,47,4557,438,174.86,407.90
540,1164313,116431,120.8,0,49,5004,445,186.62,412.66
550,1158774,115877,120.2,0,42,4172,447,180.34,415.76
560,1106149,110614,114.8,0,49,5211,469,215.86,431.12
570,1164223,116422,120.8,0,49,3370,445,174.77,414.88
580,1165814,116581,121.0,0,51,4069,444,177.49,413.99
590,1164172,116417,120.8,0,54,3561,445,177.43,414.40
600,1154714,115471,119.8,0,40,3874,448,181.95,417.05
