Time(s),Ops,TPS(ops/s),Net(M/s),Get_miss,Min(us),Max(us),Avg(us),Std_dev,Geo_dist
10,996064,99606,103.4,0,35,9819,525,370.14,455.46
20,979492,97949,101.6,0,29,11851,532,363.71,461.36
30,967008,96700,100.3,0,37,8808,539,364.82,466.88
40,977070,97707,101.4,0,52,8101,533,355.04,467.64
50,1024491,102449,106.3,0,63,6166,506,241.56,462.29
60,1081151,108115,112.2,0,60,5545,478,207.93,441.43
70,1105763,110576,114.7,0,45,5350,467,199.85,432.36
80,1111077,111107,115.3,0,39,3766,465,195.12,431.22
90,1112307,111230,115.4,0,50,5968,464,199.36,430.70
100,1106976,110697,114.9,0,45,4164,467,204.10,431.57
110,1107088,110708,114.9,0,54,4234,467,204.42,432.24
120,1118811,111881,116.1,0,54,4002,462,199.37,428.19
130,1106404,110640,114.8,0,46,4572,468,206.96,431.89
140,1116368,111636,115.8,0,47,4138,463,199.76,429.03
150,1112391,111239,115.4,0,48,4593,465,201.03,430.67
160,1133198,113319,117.6,0,45,6657,456,190.66,424.01
170,1138936,113893,118.2,0,59,4735,454,184.55,422.74
180,1143073,114307,118.6,0,53,3900,452,178.46,422.17
190,1074530,107453,111.5,0,46,6106,483,221.29,444.35
200,1096790,109679,113.8,0,48,4663,473,213.48,435.78
210,1125627,112562,116.8,0,53,4351,460,188.32,427.63
220,1129871,112987,117.2,0,49,4722,458,188.45,426.35
230,1128074,112807,117.0,0,57,4756,459,185.39,427.28
240,1121637,112163,116.4,0,50,4594,462,188.44,429.01
250,1129673,112967,117.2,0,60,4487,458,186.10,427.06
260,1139259,113925,118.2,0,45,3790,454,178.08,424.10
270,1134209,113420,117.7,0,49,4732,456,183.37,425.48
280,1136283,113628,117.9,0,47,4593,455,183.20,424.31
290,1154830,115483,119.8,0,36,3538,447,171.83,418.58
300,1159381,115938,120.3,0,40,4242,445,171.14,417.38
310,1160564,116056,120.4,0,46,3162,445,167.20,417.31
320,1160973,116097,120.5,0,45,3202,445,170.48,416.62
330,1162033,116203,120.6,0,50,4838,445,169.56,416.36
340,1162369,116236,120.6,0,60,4688,445,168.98,416.44
350,1169324,116932,121.3,0,58,3480,442,166.85,413.91
360,1167028,116702,121.1,0,41,3851,443,164.97,414.97
370,1164031,116403,120.8,0,43,3757,444,166.67,416.07
380,1159638,115963,120.3,0,58,3559,446,167.90,417.78
390,1107425,110742,114.9,0,51,5636,468,205.45,432.47
400,1154709,115470,119.8,0,39,4252,448,175.13,417.96
410,1153796,115379,119.7,0,50,4083,448,173.48,418.83
420,1154178,115417,119.8,0,46,3832,448,172.84,418.94
430,1166992,116699,121.1,0,49,4245,443,167.78,414.65
440,1169543,116954,121.4,0,59,5079,442,165.88,414.24
450,1160361,116036,120.4,0,54,3724,445,170.27,417.24
460,1146716,114671,119.0,0,53,3720,451,174.61,422.14
470,1147784,114778,119.1,0,53,5145,451,174.25,421.40
480,1147550,114755,119.1,0,52,3948,451,178.34,421.23
490,1154501,115450,119.8,0,52,3414,448,174.32,418.88
500,1153560,115356,119.7,0,48,3762,449,174.16,419.11
510,1151304,115130,119.5,0,48,3712,449,178.74,419.54
520,1134757,113475,117.7,0,41,4997,457,209.11,422.61
530,1151017,115101,119.4,0,47,4562,450,174.89,420.25
540,1171164,117116,121.5,0,55,4310,441,168.57,413.15
550,1172800,117280,121.7,0,55,4259,441,164.65,413.32
560,1175783,117578,122.0,0,52,4282,439,165.10,412.22
570,1152305,115230,119.6,0,51,3954,449,180.44,419.26
580,1142116,114211,118.5,0,50,4448,454,180.70,423.01
590,1156049,115604,120.0,0,42,3480,448,173.99,418.37
600,1157908,115790,120.1,0,50,4262,447,171.05,417.99
