Time(s),Ops,TPS(ops/s),Net(M/s),Get_miss,Min(us),Max(us),Avg(us),Std_dev,Geo_dist
10,1017746,101774,105.6,0,34,14848,514,370.87,443.67
20,1006642,100664,104.4,0,34,12247,518,360.04,447.87
30,1007363,100736,104.5,0,42,9424,517,345.83,449.15
40,1022710,102271,106.1,0,42,9372,508,338.85,448.13
50,1112447,111244,115.4,0,56,4538,464,195.30,430.73
60,1127918,112791,117.0,0,60,4485,457,195.41,424.41
70,1137592,113759,118.0,0,54,4942,454,192.96,421.41
80,1144086,114408,118.7,0,48,4676,451,189.34,419.07
90,1146064,114606,118.9,0,55,4877,451,187.58,418.49
100,1146978,114697,119.0,0,50,3753,450,187.32,418.66
110,1149979,114997,119.3,0,44,4176,449,194.42,416.41
120,1156085,115608,120.0,0,50,4486,447,189.86,414.60
130,1158242,115824,120.2,0,47,4152,446,188.97,414.02
140,1143187,114318,118.6,0,46,4521,453,193.40,419.39
150,1139191,113919,118.2,0,48,5195,455,194.57,421.03
160,1126869,112686,116.9,0,47,4193,460,206.59,424.03
170,1126220,112622,116.9,0,43,6222,461,209.25,423.76
180,1155297,115529,119.9,0,46,3971,448,184.89,416.65
190,1154768,115476,119.8,0,44,3945,448,186.28,416.39
200,1155517,115551,119.9,0,40,4017,448,184.60,416.42
210,1166209,116620,121.0,0,43,4142,444,183.22,413.11
220,1159608,115960,120.3,0,46,4053,447,182.59,415.42
230,1161797,116179,120.5,0,48,4097,446,181.73,414.87
240,1159083,115908,120.3,0,52,3646,446,181.21,415.98
250,1165452,116545,120.9,0,51,6050,444,178.50,414.36
260,1175505,117550,122.0,0,55,4556,440,179.08,410.78
270,1164451,116445,120.8,0,43,4814,445,180.98,414.25
280,1162083,116208,120.6,0,46,4433,446,181.24,415.01
290,1183301,118330,122.8,0,53,3895,437,173.58,408.02
300,1195701,119570,124.1,0,49,3989,432,165.26,405.07
310,1198225,119822,124.3,0,45,3848,431,161.95,404.46
320,1198498,119849,124.4,0,47,3520,431,165.45,403.66
330,1195151,119515,124.0,0,55,3186,432,165.36,404.76
340,1197665,119766,124.3,0,42,6003,431,164.00,404.40
350,1191033,119103,123.6,0,39,5117,434,167.99,405.88
360,1126591,112659,116.9,0,34,5933,461,220.04,421.96
370,1164051,116405,120.8,0,45,5344,445,192.10,413.02
380,1176409,117640,122.1,0,47,3415,440,174.05,410.41
390,1178271,117827,122.3,0,45,3405,439,175.47,409.86
400,1177592,117759,122.2,0,34,5032,440,173.46,410.40
410,1172273,117227,121.6,0,51,4015,442,178.58,411.54
420,1188101,118810,123.3,0,52,3552,435,174.39,406.36
430,1185684,118568,123.0,0,50,3361,436,177.55,406.65
440,1190279,119027,123.5,0,51,4131,434,172.10,405.92
450,1176507,117650,122.1,0,46,4219,440,176.34,410.57
460,1176707,117670,122.1,0,47,3687,440,176.62,409.95
470,1180070,118007,122.4,0,39,3866,439,172.05,409.68
480,1187344,118734,123.2,0,49,5124,436,170.41,407.31
490,1186068,118606,123.1,0,59,3360,436,173.64,407.26
500,1184216,118421,122.9,0,52,3960,437,174.89,407.98
510,1178057,117805,122.2,0,47,4482,440,173.34,410.20
520,1179800,117980,122.4,0,46,4685,439,178.46,409.13
530,1176332,117633,122.1,0,39,3542,440,176.86,410.85
540,1197138,119713,124.2,0,41,3711,432,169.93,404.09
550,1198647,119864,124.4,0,51,3961,431,169.95,403.28
560,1190123,119012,123.5,0,44,3896,435,171.05,406.29
570,1177179,117717,122.1,0,52,4936,440,178.70,410.16
580,1178449,117844,122.3,0,48,4866,440,175.91,409.82
590,1175282,117528,121.9,0,46,4078,441,172.61,411.20
600,1169761,116976,121.4,0,46,4121,443,178.90,413.12
