Time(s),Ops,TPS(ops/s),Net(M/s),Get_miss,Min(us),Max(us),Avg(us),Std_dev,Geo_dist
10,10529567,1052956,1092.5,0,34,10812,485,275.27,433.20
20,10215024,1021502,1059.9,0,35,7210,500,280.76,445.05
30,10038127,1003812,1041.6,0,34,8805,509,308.82,453.31
40,10575046,1057504,1097.3,300473,46,5479,483,221.68,443.97
50,10900797,1090079,1131.1,2185746,42,4766,469,210.01,432.11
60,10991121,1099112,1140.4,3668847,37,4706,465,206.91,428.73
70,10867562,1086756,1127.6,4615892,34,4315,470,210.85,432.82
80,10883537,1088353,1129.3,5330050,37,5156,469,215.45,431.17
90,11067643,1106764,1148.4,5969941,34,4266,461,207.36,425.23
100,10682348,1068234,1108.4,6178786,38,4930,478,226.50,436.90
110,10763944,1076394,1116.9,6552149,31,4926,475,225.99,433.23
120,11108457,1110845,1152.6,7052665,37,4958,460,208.57,422.87
130,11085566,1108556,1150.2,7282535,39,5710,461,211.03,423.26
140,11154891,1115489,1157.4,7535357,38,4980,458,204.45,421.55
150,11228038,1122803,1165.0,7764646,35,5057,455,198.81,419.46
160,11125013,1112501,1154.3,7846943,27,3956,459,204.31,422.94
170,11264716,1126471,1168.8,8082798,35,4345,453,197.92,418.75
180,11307503,1130750,1173.3,8234953,37,4675,452,192.26,417.80
190,11362415,1136241,1179.0,8386401,40,4214,449,193.67,415.49
200,11346812,1134681,1177.3,8471740,36,4334,450,191.79,416.59
210,11344923,1134492,1177.1,8562221,30,3525,450,192.46,416.32
220,11320314,1132031,1174.6,8620308,29,4539,451,192.39,417.68
230,11409707,1140970,1183.9,8759470,33,3857,448,187.44,414.87
240,11656363,1165636,1209.5,9022074,37,3379,438,175.75,408.27
250,11614039,1161403,1205.1,9049653,36,5097,440,177.34,409.14
260,11686252,1168625,1212.6,9163404,32,4090,437,174.04,407.20
270,11715711,1171571,1215.6,9243381,37,4765,436,173.32,406.52
280,11751862,1175186,1219.4,9319940,33,4234,435,170.93,405.37
290,11702709,1170270,1214.3,9328635,36,5362,436,177.09,406.34
300,11299574,1129957,1172.4,9046228,37,5743,452,198.48,416.90
310,11466515,1146651,1189.8,9218869,27,4541,445,188.62,412.60
320,11612317,1161231,1204.9,9373118,35,4471,440,181.05,408.41
330,11605316,1160531,1204.2,9401027,43,4007,440,181.03,408.93
340,11642860,1164286,1208.1,9464150,30,3993,439,179.92,407.51
350,11757500,1175750,1220.0,9589606,37,4540,434,176.29,404.58
360,11828068,1182806,1227.3,9676083,36,3587,432,169.24,403.08
370,11820974,1182097,1226.5,9698487,33,4635,432,172.48,402.79
380,11802202,1180220,1224.6,9708595,38,4010,433,168.86,404.15
390,11808261,1180826,1225.2,9738795,31,5327,432,174.06,403.49
400,11644323,1164432,1208.2,9625372,38,5218,439,179.45,407.61
410,11631041,1163104,1206.8,9637914,32,5110,439,179.30,408.40
420,11641432,1164143,1207.9,9667097,38,4375,439,179.98,407.50
430,11635930,1163593,1207.3,9682066,38,4345,439,179.31,407.77
440,11589838,1158983,1202.6,9660671,41,4572,441,176.60,410.37
450,11646636,1164663,1208.5,9726662,35,3886,438,177.27,408.34
460,11691483,1169148,1213.1,9783834,30,4815,437,173.93,407.25
470,11858368,1185836,1230.4,9938655,36,4270,431,167.91,402.28
480,11814025,1181402,1225.8,9916420,32,4584,432,173.21,403.17
490,11559106,1155910,1199.4,9718367,32,4430,442,182.85,410.46
500,11608017,1160801,1204.4,9772684,33,5240,440,179.56,409.15
510,11805071,1180507,1224.9,9951967,38,3871,433,170.34,403.39
520,11829220,1182922,1227.4,9986965,35,3520,432,170.75,402.42
530,11797168,1179716,1224.1,9971438,34,4687,433,173.62,403.06
540,11643052,1164305,1208.1,9856163,36,5006,439,183.65,406.89
550,11587842,1158784,1202.4,9821456,38,4269,441,178.90,409.91
560,11061489,1106148,1147.7,9383638,35,5311,462,211.23,423.70
570,11642209,1164220,1208.0,9886538,30,3418,439,173.17,408.87
580,11658071,1165807,1209.6,9912111,39,4203,438,175.40,408.09
590,11641837,1164183,1208.0,9906899,37,3561,439,175.24,408.41
600,11546975,1154697,1198.1,9837142,37,3990,442,180.64,411.31
