Time(s),Ops,TPS(ops/s),Net(M/s),Get_miss,Min(us),Max(us),Avg(us),Std_dev,Geo_dist
10,9958258,995825,1033.3,0,28,9819,513,340.14,448.24
20,9795033,979503,1016.3,0,29,11885,522,349.50,454.71
30,9670037,967003,1003.4,0,31,8901,528,352.58,460.13
40,9770626,977062,1013.8,104766,37,8383,523,341.82,460.94
50,10245105,1024510,1063.0,1648871,40,6271,499,237.62,455.77
60,10811395,1081139,1121.8,3282584,38,5581,472,207.88,436.56
70,11057674,1105767,1147.3,4460091,40,5378,462,198.36,427.92
80,11110672,1111067,1152.8,5279800,39,3917,460,193.34,426.54
90,11123177,1112317,1154.1,5884555,43,5968,459,196.57,425.70
100,11069651,1106965,1148.6,6316449,45,4281,461,203.17,426.25
110,11070935,1107093,1148.7,6684351,43,5674,461,202.39,426.40
120,11188178,1118817,1160.9,7056473,36,4018,457,194.86,422.74
130,11063965,1106396,1148.0,7233425,42,5003,462,204.66,426.10
140,11163757,1116375,1158.3,7511936,39,4251,458,196.37,423.52
150,11123853,1112385,1154.2,7664904,33,4735,459,199.01,425.07
160,11331912,1133191,1175.8,7970916,45,6657,451,187.32,418.76
170,11389538,1138953,1181.8,8155556,42,4754,448,183.20,417.41
180,11430651,1143065,1186.0,8314723,39,3994,447,176.46,416.88
190,10745300,1074530,1114.9,7916427,36,6106,475,216.94,436.80
200,10967941,1096794,1138.0,8172942,41,4663,466,209.39,429.15
210,11256321,1125632,1168.0,8475222,38,4419,454,185.31,421.69
220,11298592,1129859,1172.3,8586122,38,4722,452,185.17,420.38
230,11280705,1128070,1170.5,8647336,32,4940,453,183.48,421.45
240,11216370,1121637,1163.8,8662769,39,4615,455,188.33,422.92
250,11296716,1129671,1172.1,8786827,36,4487,452,182.71,420.98
260,11392582,1139258,1182.1,8919308,42,3869,448,176.52,418.32
270,11342177,1134217,1176.9,8929829,41,4741,450,181.07,419.51
280,11362700,1136270,1179.0,8993870,41,4607,449,181.72,418.67
290,11548261,1154826,1198.2,9188122,36,3579,442,170.62,413.60
300,11593957,1159395,1203.0,9265746,38,4300,440,169.86,412.41
310,11605588,1160558,1204.2,9317151,32,3411,440,165.89,412.54
320,11609755,1160975,1204.6,9356526,43,3299,440,168.30,411.49
330,11620303,1162030,1205.7,9403159,37,4985,439,170.01,411.24
340,11623666,1162366,1206.1,9436960,36,4848,439,169.25,411.25
350,11693321,1169332,1213.3,9524546,38,3507,437,165.06,408.93
360,11670354,1167035,1210.9,9536704,34,3862,438,163.56,409.96
370,11640233,1164023,1207.8,9539361,43,3866,439,164.90,410.97
380,11596339,1159633,1203.2,9528910,31,3559,440,168.50,412.63
390,11074266,1107426,1149.1,9124191,33,5661,461,202.53,425.66
400,11547055,1154705,1198.1,9536578,37,4262,442,175.24,412.76
410,11537973,1153797,1197.2,9550532,38,4102,443,170.88,413.41
420,11541783,1154178,1197.6,9574173,44,3940,442,172.94,413.42
430,11669997,1166999,1210.9,9699352,39,4275,438,165.88,409.66
440,11695424,1169542,1213.5,9739627,37,5114,437,164.35,409.16
450,11603536,1160353,1204.0,9683361,42,3729,440,168.26,411.85
460,11467092,1146709,1189.8,9585904,35,3859,445,173.05,416.41
470,11477886,1147788,1190.9,9612242,39,5190,445,173.04,415.81
480,11475612,1147561,1190.7,9625041,36,3969,445,176.24,415.39
490,11544806,1154480,1197.9,9698085,34,3976,442,173.36,413.07
500,11535726,1153572,1196.9,9705196,34,3875,443,172.64,413.23
510,11513059,1151305,1194.6,9700126,33,3731,444,174.31,413.78
520,11347572,1134757,1177.4,9571594,41,5148,450,204.44,416.27
530,11510197,1151019,1194.3,9722261,41,4879,444,172.87,414.49
540,11711560,1171156,1215.2,9904800,42,4503,436,167.62,408.04
550,11728111,1172811,1216.9,9931847,30,4680,435,165.25,408.23
560,11757665,1175766,1220.0,9969081,39,4291,434,164.07,407.37
570,11523187,1152318,1195.6,9781447,36,3971,443,177.30,413.12
580,11421160,1142116,1185.1,9704324,43,4502,447,179.14,416.59
590,11560452,1156045,1199.5,9830642,37,3642,442,171.92,412.51
600,11579117,1157911,1201.4,9859028,45,4386,441,170.10,412.36
