Time(s),Ops,TPS(ops/s),Net(M/s),Get_miss,Min(us),Max(us),Avg(us),Std_dev,Geo_dist
10,10175207,1017520,1055.8,0,29,14848,502,338.50,436.80
20,10066346,1006634,1044.5,0,28,12279,507,346.02,441.10
30,10073739,1007373,1045.2,0,25,9426,507,333.03,442.66
40,10226959,1022695,1061.1,216151,30,9530,500,326.40,442.31
50,11124537,1112453,1154.3,2107556,33,4586,459,194.56,426.29
60,11279119,1127911,1170.3,3714588,40,4560,453,193.14,420.10
70,11375905,1137590,1180.4,4823217,45,5054,449,192.26,416.87
80,11440973,1144097,1187.1,5625106,42,4753,446,188.70,414.62
90,11460489,1146048,1189.1,6228977,42,4937,446,186.33,413.69
100,11469897,1146989,1190.1,6686136,44,3860,445,186.18,413.70
110,11499826,1149982,1193.2,7069393,40,4204,444,191.61,411.21
120,11560808,1156080,1199.5,7411061,35,4596,442,187.43,409.43
130,11582407,1158240,1201.8,7675591,32,4206,441,186.71,408.81
140,11431879,1143187,1186.2,7789240,40,4521,447,190.94,413.69
150,11391967,1139196,1182.0,7938486,35,5337,448,194.08,414.94
160,11268565,1126856,1169.2,8001539,37,4233,453,203.92,417.57
170,11262210,1126221,1168.6,8127974,41,6336,453,208.05,416.97
180,11553209,1155320,1198.8,8460159,39,4602,442,182.76,410.84
190,11547540,1154754,1198.2,8563818,39,4057,442,184.30,410.54
200,11555238,1155523,1199.0,8668647,37,4148,442,182.53,410.58
210,11661883,1166188,1210.0,8834774,33,4291,438,179.93,407.14
220,11596151,1159615,1203.2,8865143,31,4155,440,182.32,409.43
230,11617985,1161798,1205.5,8955436,34,4148,440,178.78,409.10
240,11590829,1159082,1202.7,8999856,37,3729,441,177.07,410.23
250,11654567,1165456,1209.3,9112363,38,6178,438,176.96,408.69
260,11755146,1175514,1219.7,9245023,37,4631,434,176.89,405.01
270,11644419,1164441,1208.2,9210164,41,4971,439,177.25,408.09
280,11620751,1162075,1205.8,9236712,40,4529,439,180.49,408.81
290,11832981,1183298,1227.8,9452802,37,4398,432,170.04,402.70
300,11957059,1195705,1240.7,9596844,37,3989,427,163.49,400.06
310,11982239,1198223,1243.3,9655638,37,3848,426,161.16,399.68
320,11985091,1198509,1243.6,9698223,32,3641,426,163.95,398.74
330,11951301,1195130,1240.1,9705197,43,3295,427,164.67,399.89
340,11976799,1197679,1242.7,9756258,33,6031,426,163.59,399.44
350,11910394,1191039,1235.8,9733784,34,5201,429,166.42,400.84
360,11265803,1126580,1168.9,9233648,34,6073,453,217.18,415.12
370,11640466,1164046,1207.8,9566563,37,5437,439,187.88,407.01
380,11764198,1176419,1220.7,9693643,39,3622,434,172.82,404.91
390,11782670,1178267,1222.6,9732767,33,3436,433,174.19,404.21
400,11775897,1177589,1221.9,9748861,34,5174,434,171.32,404.59
410,11722700,1172270,1216.3,9727718,37,4066,436,175.82,405.60
420,11881156,1188115,1232.8,9878278,37,3612,430,170.75,400.70
430,11856674,1185667,1230.2,9878624,37,3506,431,173.45,401.03
440,11902707,1190270,1235.0,9934474,30,4185,429,169.11,400.59
450,11765214,1176521,1220.8,9839608,39,4266,434,174.11,404.68
460,11767112,1176711,1221.0,9857654,37,3687,434,175.12,404.20
470,11800835,1180083,1224.5,9901869,37,4350,433,170.14,403.83
480,11873211,1187321,1232.0,9977684,36,5165,430,169.27,401.65
490,11860726,1186072,1230.7,9984114,37,3511,431,170.11,401.57
500,11842262,1184226,1228.8,9981969,43,4194,431,172.78,402.19
510,11780574,1178057,1222.3,9943543,37,4482,433,173.63,404.20
520,11797893,1179789,1224.1,9970592,38,4710,433,174.99,402.78
530,11763354,1176335,1220.6,9955322,37,3709,434,173.43,404.74
540,11971408,1197140,1242.2,10142351,39,3740,427,165.67,398.49
550,11986523,1198652,1243.7,10167158,31,3985,426,167.10,397.82
560,11901168,1190116,1234.9,10106589,32,3896,429,169.84,400.54
570,11771747,1177174,1221.4,10007511,37,5088,434,175.07,403.93
580,11784522,1178452,1222.8,10027482,37,4866,433,175.76,403.66
590,11752777,1175277,1219.5,10012098,37,4085,434,173.62,405.17
600,11697640,1169764,1213.7,9974466,37,4121,437,175.47,406.80
